index,movie_name,year,category,run_time,genre,imdb_rating,votes,gross_total,budget
1,The Godfather,1972,R,175 min,"Crime, Drama",9.2,1.86,134.97,6.00
2,The Silence of the Lambs,1991,R,118 min,"Crime, Drama, Thriller",8.6,1.44,130.74,19.00
3,Star Wars: Episode V  The Empire Strikes Back,1980,PG,124 min,"Action, Adventure, Fantasy",8.7,1.29,290.48,33.00
4,The Shawshank Redemption,1994,R,142 min,Drama,9.3,2.68,28.34,25.00
5,The Shining,1980,R,146 min,"Drama, Horror",8.4,1.03,44.02,19.00
6,One Flew Over the Cuckoo's Nest,1975,R,133 min,Drama,8.7,1.01,112.00,4.40
7,Indiana Jones and the Raiders of the Lost Ark,1981,PG,115 min,"Action, Adventure",8.4,0.97,248.16,18.00
8,The Lord of the Rings: The Return of the King,2003,PG13,201 min,"Action, Adventure, Drama",9,1.85,377.85,94.00
9,Star Wars: Episode IV  A New Hope,1977,PG,121 min,"Action, Adventure, Fantasy",8.6,1.37,322.74,11.00
10,The Dark Knight,2008,PG13,152 min,"Action, Crime, Drama",9,2.66,534.86,185.00
11,The Godfather: Part II,1974,R,202 min,"Crime, Drama",9,1.27,57.30,13.00
12,Aliens,1986,R,137 min,"Action, Adventure, SciFi",8.4,0.72,85.16,18.50
13,Schindler's List,1993,R,195 min,"Biography, Drama, History",9,1.36,96.90,22.00
14,Inception,2010,PG13,148 min,"Action, Adventure, SciFi",8.8,2.36,292.58,160.00
15,The Lord of the Rings: The Fellowship of the Ring,2001,PG13,178 min,"Action, Adventure, Drama",8.8,1.88,315.54,93.00
16,Alien,1979,R,117 min,"Horror, SciFi",8.5,0.89,78.90,11.00
17,Blade Runner,1982,R,117 min,"Action, Drama, SciFi",8.1,0.77,32.87,30.00
18,Se7en,1995,R,127 min,"Crime, Drama, Mystery",8.6,1.66,100.13,33.00
19,Apocalypse Now,1979,R,147 min,"Drama, Mystery, War",8.5,0.67,83.47,31.50
20,The Lord of the Rings: The Two Towers,2002,PG13,179 min,"Action, Adventure, Drama",8.8,1.67,342.55,94.00
